อ	A
กากจฺฉติ	Kākacchati
กากณ	Kākaṇa
กากณิกา	Kākaṇikā
กาโกล	Kākola
กาจ	Kāca
กาจนา	Kācanā
กาจินฺ	Kācin
กาช	Kāja
กาฏ-โกฏจิกา	Kāṭa-koṭacikā
กาฏโกฏจิกา	Kāṭa-koṭacikā
กาณ	Kāṇa
กาตพฺพ	Kātabba
กาตุํ	Kātuṃ
กาตุเย	Kātuye
กาทมฺพ	Kādamba
กาทมฺพก	Kādambaka
กานน	Kānana
กานามา	Kānāmā
กาปิลนี	Kāpilanī
กาปิลวตฺถว	Kāpilavatthava
กาปุริส	Kāpurisa
กาโปตก	Kāpotaka
กาโปติกา	Kāpotikā
กาม	Kāma
กามก	Kāmaka
กามณฺฑลุก	Kāmaṇḍaluka
กามตา	Kāmatā
กามินฺ	Kāmin
กามุก	Kāmuka
กาเมติ	Kāmeti
กายิก	Kāyika
กายูร	Kāyūra
กายูรินฺ	Kāyūrin
การฺ	Kār
การ	Kāra
การก	Kāraka
การณ	Kāraṇa
การณิก	Kāraṇika
การณฺฑว	Kāraṇḍava
การา	Kārā
การาปก	Kārāpaka
การาปณ	Kārāpaṇa
การาปิต	Kārāpita
การิกา	Kārikā
การิตา	Kāritā
การินฺ	Kārin
การิย	Kāriya
การุญฺญ	Kāruñña
การุญฺญตา	Kāruññatā
การุณิก	Kāruṇika
กาเรติ	Kāreti
กาล	Kāla
กาลิก	Kālika
กาลีย	Kālīya
กาลุสิย	Kālusiya
กาฬ	Kāḷa
กาฬก	Kāḷaka
กาฬาริก	Kāḷārika
กาเวยฺย	Kāveyya
กาส	Kāsa
กาสาย	Kāsāya
กาสาวก	Kāsāvaka
กาสาวิย	Kāsāviya
กาสิก	Kāsika
กาสุ	Kāsu
กิ	Ki°
กึ	Kiṃ
กึสุก	Kiṃsuka
กิกิต	Kikita
กิกี	Kikī
กิงฺกณิก	Kiṅkaṇika
กิงฺกิณิก	Kiṅkiṇika
กิจฺจ	Kicca
กิจฺจยตา	Kiccayatā
กิจฺฉ	Kiccha
กิจฺฉติ	Kicchati
กิญฺจน	Kiñcana
กิญฺจิ	Kiñci
กิญฺจิกฺข	Kiñcikkha
กิญฺชกฺข	Kiñjakkha
กิฏก	Kiṭaka
กิฏิก	Kiṭika
กิฏฺฐ	Kiṭṭha
กิณกิณายติ	Kiṇakiṇāyati
กิณาติ	Kiṇāti
กิณิ	Kiṇi
กิณฺณ	Kiṇṇa
กิณฺห	Kiṇha
กิต	Kita
กิตว	Kitava
กิตฺตก	Kittaka
กิตฺตน	Kittana
กิตฺตาวตา	Kittāvatā
กิตฺติ	Kitti
กิตฺติก	Kittika
กิตฺติต	Kittita
กิตฺติม	Kittima
กิตฺเตติ	Kitteti
กินฺนร	Kinnara
กินฺนาม	Kinnāma
กิปิลฺลิกา	Kipillikā
กิพฺพิส	Kibbisa
กิพฺพิสก	Kibbisaka
กิมิ	Kimi
กิมิน	Kimina
กิร	Kira
กิรณ	Kiraṇa
กิรติ	Kirati
กิราต	Kirāta
กิราส	Kirāsa
กิริยติ	Kiriyati
กิริย	Kiriya
กิริยตา	Kiriyatā
กิรีฏินฺ	Kirīṭin
กิล	Kila
กิลญฺชา	Kilañjā
กิลนฺต	Kilanta
กิลม	Kilama
กิลมติ	Kilamati
กิลมถ	Kilamatha
กิลมิต	Kilamita
กิลเมติ	Kilameti
กิลาส	Kilāsa
กิลาสิก	Kilāsika
กิลาสุ	Kilāsu
กิลิ	Kili
กิลิกิลายติ	Kilikilāyati
กิลิชฺชติ	Kilijjati
กิลิฏฺฐ	Kiliṭṭha
กิลินฺน	Kilinna
กิลิสฺสติ	Kilissati
กิลิสฺสน	Kilissana
กิเลส	Kilesa
กิเลเสติ	Kileseti
กิโลม	Kiloma
กิโลมก	Kilomaka
กิส	Kisa
กิสก	Kisaka
กิสฺสติ	Kissati
กิสฺสว	Kissava
กีฏ	Kīṭa
กีฏก	Kīṭaka
กีต	Kīta
กีทิส	Kīdisa
กีร	Kīra
กีริส	Kīrisa
กีล	Kīla
กีฬติ	Kīḷati
กีฬนก	Kīḷanaka
กีฬนา	Kīḷanā
กีฬา	Kīḷā
กีฬาปนก	Kīḷāpanaka
กีฬิกา	Kīḷikā
กีฬิต	Kīḷita
กีวนฺตฺ	Kīvant
กีวติก	Kīvatika
กุ	Ku°
กุกุตฺถก	Kukutthaka
กุกฺกุ	Kukku
กุกฺกุก	Kukkuka
กุกฺกุจฺจ	Kukkucca
กุกฺกุจฺจก	Kukkuccaka
กุกฺกุจฺจายติ	Kukkuccāyati
กุกฺกุจฺจิย	Kukkucciya
กุกฺกุฏ	Kukkuṭa
กุกฺกุร	Kukkura
กุกฺกุฬ	Kukkuḷa
กุกฺกาส	Kukkāsa
กุงฺกุม	Kuṅkuma
กุงฺกุมินฺ	Kuṅkumin
กุงฺกุมิย	Kuṅkumiya
กุจฺฉิ	Kucchi
กุจฺฉิต	Kucchita
กุจฺฉิมนฺตฺ	Kucchimant
กุชติ	Kujati
กุชน	Kujana
กุชฺช	Kujja
กุชฺฌติ	Kujjhati
กุชฺฌน	Kujjhana
กุชฺฌาปน	Kujjhāpana
กุญฺจ	Kuñca
กุญฺจิกา	Kuñcikā
กุญฺจิต	Kuñcita
กุญฺช	Kuñja
กุญฺชร	Kuñjara
กุฏ	Kuṭa
กุฏก	Kuṭaka
กุฏช	Kuṭaja
กุฏติ	Kuṭati
กุฏว	Kuṭava
กุฏิกา	Kuṭikā
กุฏิมฺพิก	Kuṭimbika
กุฏิล	Kuṭila
กุฏิลตา	Kuṭilatā
กุฏี	Kuṭī
กุฏุกุญฺจก	Kuṭukuñcaka
กุฏุมฺพ	Kuṭumba
กุฏุมฺพิก	Kuṭumbika
กุฏฺฏ	Kuṭṭa
กุฏฺฐ	Kuṭṭha
กุฏฺฐิต	Kuṭṭhita
กุฏฺฐินฺ	Kuṭṭhin
กุฏฺฐิลิกา	Kuṭṭhilikā
กุฐารี	Kuṭhārī
กุฑุมลก	Kuḍumalaka
กุฑฺฑ	Kuḍḍa
กุฑฺฑก	Kuḍḍaka
กุฑฺฑ-มูล	Kuḍḍa-mūla
กุฑฺฑมูล	Kuḍḍa-mūla
กุณ	Kuṇa
กุณป	Kuṇapa
กุณลินฺ	Kuṇalin
กุณาล	Kuṇāla
กุณาลก	Kuṇālaka
กุณิ	Kuṇi
กุณิต	Kuṇita
กุณฺฐ	Kuṇṭha
กุณฺฐิต	Kuṇṭhita
กุณฺฑ	Kuṇḍa
กุณฺฑก	Kuṇḍaka
กุณฺฑล	Kuṇḍala
กุณฺฑลินฺ	Kuṇḍalin
กุณฺฑิ	Kuṇḍi
กุณฺฑิก	Kuṇḍika
กุณฺฑิกา	Kuṇḍikā
กุตุก	Kutuka
กุตุมฺพก	Kutumbaka
กุตูหล	Kutūhala
กุโต	Kuto
กุตฺต	Kutta
กุตฺตก	Kuttaka
กุตฺตม	Kuttama
กุตฺติ	Kutti
กุตฺถก	Kutthaka
กุถ	Kutha
กุถติ	Kuthati
กุถน	Kuthana
กุถิต	Kuthita
กุทณฺฑก	Kudaṇḍaka
กุทสฺสุ	Kudassu
กุทา	Kudā
กุทาร	Kudāra
กุทาริกา	Kudārikā
กุทิฏฺฐิ	Kudiṭṭhi
กุทฺทาล	Kuddāla
กุทฺทาลก	Kuddālaka
กุทฺธ	Kuddha
กุทฺรูส	Kudrūsa
กุนฺต	Kunta
กุนฺตนี	Kuntanī
กุนฺถ	Kuntha
กุนฺท	Kunda
กุนฺนที	Kunnadī
กุปถ	Kupatha
กุปิต	Kupita
กุปฺป	Kuppa
กุปฺปติ	Kuppati
กุปฺปิล	Kuppila
กุพฺพติ	Kubbati
กุพฺพนก	Kubbanaka
กุพฺพร	Kubbara
กุมติ	Kumati
กุมาร	Kumāra
กุมารก	Kumāraka
กุมารี	Kumārī
กุมิน	Kumina
กุมุท	Kumuda
กุมฺภ	Kumbha
กุมฺภณฺฑ	Kumbhaṇḍa
กุมฺภี	Kumbhī
กุมฺภีล	Kumbhīla
กุมฺภีลก	Kumbhīlaka
กุมฺม	Kumma
กุมฺมคฺค	Kummagga
กุมฺมาส	Kummāsa
กุมฺมิค	Kummiga
กุยฺยก	Kuyyaka
กุรณฺฑก	Kuraṇḍaka
กุรร	Kurara
กุรวก	Kuravaka
กุรุนฺค	Kurunga
กุรุฏฺฐรู	Kuruṭṭharū
กุรุนฺที	Kurundī
กุรุวินฺทก	Kuruvindaka
กุรูร	Kurūra
กุรูรินฺ	Kurūrin
กุล	Kula
กุลงฺก	Kulaṅka
กุลตฺถ	Kulattha
กุลล	Kulala
กุลาล	Kulāla
กุลาว	Kulāva
กุลาวก	Kulāvaka
กุลิก	Kulika
กุฬิก	Kuḷika
กุลิงฺก	Kuliṅka
กุลินฺ	Kulin
กุลีน	Kulīna
กุลีร	Kulīra
กุลีรก	Kulīraka
กุลุนฺก	Kulunka
กุลฺล	Kulla
กุลฺลก	Kullaka
กุวํ	Kuva(ṃ)
กุวลย	Kuvalaya
กุวิลาร	Kuvilāra
กุส	Kusa
กุสก	Kusaka
กุสล	Kusala
กุสลตา	Kusalatā
กุสิ	Kusi
กุสีต	Kusīta
กุสีตตา	Kusītatā
กุสุม	Kusuma
กุสุมิต	Kusumita
กุสุมฺภ	Kusumbha
กุสฺสุพฺภ	Kussubbha
กุห	Kuha
กุหก	Kuhaka
กุหนา	Kuhanā
กุหร	Kuhara
กุหึ	Kuhiṃ
กุหิลิกา	Kuhilikā
กุหียติ	Kuhīyati
กุเหติ	Kuheti
กูชติ	Kūjati
กูฏ	Kūṭa
กูฏก	Kūṭaka
กูเฏยฺย	Kūṭeyya
กูป	Kūpa
กูปก	Kūpaka
กูร	Kūra
กูล	Kūla
เกก	Keka
เกฏุภ	Keṭubha
เกฏุภินฺ	Keṭubhin
เกตก	Ketaka
เกตน	Ketana
เกตุ	Ketu
เกตุํ	Ketuṃ
เกตุวนฺตฺ	Ketuvant
เกทาร	Kedāra
เกพุก	Kebuka
เกยูร	Keyūra
เกยูรินฺ	Keyūrin
เกยฺย	Keyya
เกราฏิก	Kerāṭika
เกราฏิย	Kerāṭiya
เกลิสา	Kelisā
เกฬนา	Keḷanā
เกฬายติ	Keḷāyati
เกฬายน	Keḷāyana
เกฬายิต	Keḷāyita
เกฬาส	Keḷāsa
เกฬิ	Keḷi
เกวฏฺฏ	Kevaṭṭa
เกวล	Kevala
เกวลินฺ	Kevalin
เกส	Kesa
เกสยติ	Kesayati
เกสร	Kesara
เกสรินฺ	Kesarin
เกสว	Kesava
เกสิก	Kesika
โก	Ko
โกก	Koka
โกกนท	Kokanada
โกกาสิก	Kokāsika
โกกิล	Kokila
โกจ	Koca
โกจิ	Koci
โกจฺฉ	Koccha
โกช	Koja
โกชว	Kojava
โกญฺจ	Koñca
โกฏ	Koṭa
โกฏจิกา	Koṭacikā
โกฏิ	Koṭi
โกฏิก	Koṭika
โกฏินฺ	Koṭin
โกฏิลฺล	Koṭilla
โกฏุมฺพร	Koṭumbara
โกฏฺฏ	Koṭṭa
โกฏฺฏน	Koṭṭana
โกฏฺฏิต	Koṭṭita
โกฏฺฏิม	Koṭṭima
โกฏฺเฏติ	Koṭṭeti
โกฏฺฐ	Koṭṭha
โกฏฺฐก	Koṭṭhaka
โกฏฺฐุ	Koṭṭhu
โกฏฺเฐติ	Koṭṭheti
โกณ	Koṇa
โกณฺฏ	Koṇṭa
โกณฺฐ	Koṇṭha
โกณฺฑ-ทมก	Koṇḍa-damaka
โกณฺฑทมก	Koṇḍa-damaka
โกณฺฑญฺญ	Koṇḍañña
โกตูหล	Kotūhala
โกตฺถลี	Kotthalī
โกตฺถุ	Kotthu
โกตฺถุก	Kotthuka
โกทณฺฑ	Kodaṇḍa
โกทุมฺพร	Kodumbara
โกธ	Kodha
โกธน	Kodhana
โกนฺต	Konta
โกนฺตีมนฺตฺ	Kontīmant
โกป	Kopa
โกปเนยฺย	Kopaneyya
โกปีน	Kopīna
โกเปติ	Kopeti
โกมล	Komala
โกมาร	Komāra
โกมารก	Komāraka
โกมุที	Komudī
โกรก	Koraka
โกรกิต	Korakita
โกรชิก	Korajika
โกรณฺฑก	Koraṇḍaka
โกรพฺย	Korabya
โกริยา	Koriyā
โกล	Kola
โกลงฺโกล	Kolaṅkola
โกลญฺญ	Kolañña
โกลฏฺฐิ	Kolaṭṭhi
โกลปุตฺติ	Kolaputti
โกลมฺพ	Kolamba
โกลาหล	Kolāhala
โกลิย	Koliya
โกลีนิยา	Kolīniyā
โกเลยฺยก	Koleyyaka
โกฬาป	Koḷāpa
โกฬิกา	Koḷikā
โกวิท	Kovida
โกวิฬาร	Koviḷāra
โกส	Kosa
โกสก	Kosaka
โกสชฺช	Kosajja
โกสมตฺถ	Kosamattha
โกสลฺล	Kosalla
โกสาตกี	Kosātakī
โกสิก	Kosika
โกสิย	Kosiya
โกสี	Kosī
โกเสยฺย	Koseyya
โกหญฺญ	Kohañña
กฺวณฺ	Kvaṇ
ข	Kha
ขคฺค	Khagga
ขจิต	Khacita
ขชฺช	Khajja
ขชฺชก	Khajjaka
ขชฺชติ	Khajjati
ขชฺชร	Khajjara
ขชฺโชปนก	Khajjopanaka
ขญฺช	Khañja
ขญฺชติ	Khañjati
ขญฺชน	Khañjana
ขฏขฏ	Khaṭakhaṭa
ขโฏปิกา	Khaṭopikā
ขณ	Khaṇa
ขณติ	Khaṇati
ขณน	Khaṇana
ขณิก	Khaṇika
ขณิกตฺต	Khaṇikatta
ขณฺฑ	Khaṇḍa
ขณฺฑติ	Khaṇḍati
ขณฺฑิกา	Khaṇḍikā
ขณฺฑิจฺจ	Khaṇḍicca
ขณฺเฑติ	Khaṇḍeti
ขต	Khata
ขตก	Khataka
ขตฺต	Khatta
ขตฺตรฺ	Khattar
ขตฺติย	Khattiya
ขตฺติยี	Khattiyī
ขตฺตุํ	Khattuṃ
ขทิร	Khadira
ขนติ	Khanati
ขนิตฺตี	Khanittī
ขนฺตรฺ	Khantar
ขนฺติ	Khanti
ขนฺติก	Khantika
ขนฺทติ	Khandati
ขนฺธ	Khandha
ขนฺธก	Khandhaka
ขนฺธิมนฺ	Khandhiman
ขม	Khama
ขมติ	Khamati
ขมน	Khamana
ขมนตา	Khamanatā
ขมา	Khamā
ขมาปนา	Khamāpanā
ขมฺภ	Khambha
ขมฺเภติ	Khambheti
ขย	Khaya
ขร	Khara
ขรตฺต	Kharatta
ขล	Khala
ขลงฺก	Khalaṅka
ขลติ	Khalati
ขลิ	Khali
ขลิก	Khalika
ขลิต	Khalita
ขลุ	Khalu
ขลุงฺก	Khaluṅka
ขเลติ	Khaleti
ขลฺลก	Khallaka
ขลฺลาฏ	Khallāṭa
ขลฺลิก	Khallika
ขโฬปี	Khaḷopī
ขาณุ	Khāṇu
ขาณุก	Khāṇuka
ขาต	Khāta
ขาท	Khāda
ขาทก	Khādaka
ขาทติ	Khādati
ขาทน	Khādana
ขาทนิย	Khādaniya
ขาทา	Khādā
ขาทาปน	Khādāpana
ขาทาเปติ	Khādāpeti
ขาทิก	Khādika
ขาทิต	Khādita
ขาทินฺ	Khādin
ขายติ	Khāyati
ขายิต	Khāyita
ขาร	Khāra
ขารก	Khāraka
ขารี	Khārī
ขาเลติ	Khāleti
ขาหินฺติ	Khāhinti
ขิฑฺฑา	Khiḍḍā
ขิตฺต	Khitta
ขิป	Khipa
ขิปติ	Khipati
ขิปน	Khipana
ขิปนา	Khipanā
ขิปิต	Khipita
ขิปฺป	Khippa
ขิปฺปติ	Khippati
ขิล	Khila
ขิฬ	Khiḷa
ขีณ	Khīṇa
ขีณตฺต	Khīṇatta
ขีย	Khīya
ขียติ	Khīyati
ขียนก	Khīyanaka
ขีร	Khīra
ขีรนิกา	Khīranikā
ขีล	Khīla
ขีลก	Khīlaka
ขีฬน	Khīḷana
ขีเฬติ	Khīḷeti
ขุ	Khu
ขุํเสติ	Khuṃseti
ขุชฺช	Khujja
ขุณฺฑลิ	Khuṇḍali
ขุทา	Khudā
ขุทฺท	Khudda
ขุทฺทก	Khuddaka
ขุปฺปิปาสา	Khuppipāsā
ขุภติ	Khubhati
ขุร	Khura
ขุลุขุลุ-กรกํ	Khulukhulu-karakaṃ
ขุลุขุลุกรกํ	Khulukhulu-karakaṃ
ขฺวฺ	Khv
เขฏ	Kheṭa
เขตฺต	Khetta
เขท	Kheda
เขป	Khepa
เขปน	Khepana
เขปิต	Khepita
เขเปติ	Khepeti
เขม	Khema
เขมินฺ	Khemin
เขฬ	Kheḷa
เขฬาสก	Kheḷāsaka
โข	Kho
โขภ	Khobha
โขม	Khoma
ค	Ga
คคน	Gagana
คคฺคร	Gaggara
คคฺครก	Gaggaraka
คคฺครายติ	Gaggarāyati
คจฺฉ	Gaccha
คจฺฉติ	Gacchati
คช	Gaja
คชก	Gajaka
คชฺชติ	Gajjati
คชฺชิตรฺ	Gajjitar
คณ	Gaṇa
คณก	Gaṇaka
คณกี	Gaṇakī
คณนา	Gaṇanā
คณิกา	Gaṇikā
คณินฺ	Gaṇin
คเณติ	Gaṇeti
คณฺฐิ	Gaṇṭhi
คณฺฐิกา	Gaṇṭhikā
คณฺฑ	Gaṇḍa
คณฺฑก	Gaṇḍaka
คณฺฑมฺพ	Gaṇḍamba
คณฺฑิก	Gaṇḍika
คณฺฑิกา	Gaṇḍikā
คณฺฑี	Gaṇḍī
คณฺฑุส	Gaṇḍusa
คณฺหติ	Gaṇhati
คต	Gata
คตก	Gataka
คตตฺต	Gatatta
คติ	Gati
คติก	Gatika
คตินฺ	Gatin
คติมนฺตฺ	Gatimant
คตฺต	Gatta
คถิต	Gathita
คท	Gada
คทฺทุล	Gaddula
คทฺทูหน	Gaddūhana
คทฺธ	Gaddha
คทฺรภ	Gadrabha
คธิต	Gadhita
คนฺตรฺ	Gantar
คนฺถ	Gantha
คนฺถติ	Ganthati
คนฺถิก	Ganthika
คนฺธ	Gandha
คนฺธน	Gandhana
คนฺธพฺพ	Gandhabba
คนฺธพฺพา	Gandhabbā
คนฺธาร	Gandhāra
คนฺธิก	Gandhika
คนฺธินฺ	Gandhin
คนฺธิน	Gandhina
คพฺพิต	Gabbita
คพฺภ	Gabbha
คพฺภร	Gabbhara
คพฺภินี	Gabbhinī
คม	Gama
คมน	Gamana
คมนีย	Gamanīya
คมิก	Gamika
คมิน	Gamina
คเมติ	Gameti
คมฺภีร	Gambhīra
คมฺภีรตา	Gambhīratā
คมฺม	Gamma
คยฺห	Gayha
คยฺหก	Gayhaka
คยฺหติ	Gayhati
ครหก	Garahaka
ครหณ	Garahaṇa
ครหติ	Garahati
ครหา	Garahā
ครหินฺ	Garahin
ครุ	Garu
ครุก	Garuka
ครุตฺต	Garutta
ครุฬ	Garuḷa
คล	Gala
คลก	Galaka
คฬ	Gaḷa
คฬคฬายติ	Gaḷagaḷāyati
คฬติ	Gaḷati
คฬยติ	Gaḷayati
คฬิต	Gaḷita
คโฬจี	Gaḷocī
คว	Gava°
ควจฺฉิต	Gavacchita
ควช	Gavaja
ควย	Gavaya
ควิ	Gavi
คเวสก	Gavesaka
คเวสติ	Gavesati
คเวสน	Gavesana
คเวสินฺ	Gavesin
คสฺเสตุํ	Gassetuṃ
คห	Gaha
คหณ	Gahaṇa
คหณี	Gahaṇī
